Word,size,Length
introduction,2,12
the,500,3
and,280,3
appreciated,1,11
who,31,3
not,43,3
may,12,3
enlightened,1,11
phraseology,1,11
anatomical,2,10
are,71,3
scientific,1,10
exhaustive,2,10
boundaries,1,10
has,26,3
but,73,3
tenasserim,9,10
his,36,3
incomplete,2,10
acknowledge,1,11
him,9,3
owe,1,3
arrangement,2,11
indebtedness,1,12
naturalists,4,11
publications,1,12
out,8,3
own,3,3
col,1,3
zoological,4,10
researches,1,10
chiroptera,1,10
professors,1,10
sir,11,3
proceedings,2,11
all,19,3
few,9,3
experience,1,10
observation,2,11
collection,1,10
engrafting,1,10
met,2,3
for,37,3
comparison,4,10
end,2,3
far,3,3
man,15,3
quadrumana,4,10
two,18,3
marsupiata,1,10
implacental,1,11
porcupines,1,10
armadillos,1,10
pachydermata,1,12
rhinoceroses,1,12
ruminantia,1,10
cud,1,3
periodically,1,12
repugnance,1,10
connection,1,10
development,5,11
impassable,1,10
one,36,3
physically,1,10
our,2,3
standpoint,1,10
degradation,1,11
nor,7,3
acceptance,1,10
examination,1,11
scriptural,1,10
disbelieve,1,10
any,5,3
bat,1,3
materially,1,10
its,39,3
toe,2,3
run,5,3
see,6,3
how,2,3
appearance,2,10
set,3,3
you,1,3
difference,7,10
mahomedanism,1,12
intermarry,1,10
communities,1,11
generations,1,11
unmistakable,1,12
inhabiting,6,10
mountainous,3,11
intestinal,1,10
carnivorous,2,11
vegetarian,1,10
herbivorous,5,11
recognised,1,10
why,1,3
blumenbach,2,10
recognises,1,10
had,16,3
was,41,3
consisting,1,10
madagascar,2,10
new,3,3
zealanders,1,10
viz,3,3
inhabitants,1,11
classifies,1,10
now,5,3
distributed,2,11
particular,1,10
cultivated,1,10
comprising,1,10
singhalese,3,10
mongolians,1,10
chittagong,6,10
aborigines,1,10
eye,2,3
ethnologists,1,12
dravidians,2,10
low,6,3
hesitation,1,10
polynesian,1,10
andamanese,6,10
men,6,3
stretching,2,10
sambhulpur,1,10
particularly,3,12
superficial,1,11
thoroughly,1,10
dimensions,1,10
vol,2,3
rev,2,3
ethnological,1,12
yet,3,3
information,5,11
apparently,1,10
surrounded,1,10
atmosphere,1,10
vegetation,1,10
uneventful,1,10
awe,1,3
descriptions,1,12
ago,3,3
piddington,2,10
communicated,1,12
aboriginal,1,10
starvation,1,10
fly,1,3
unexplored,1,10
day,3,3
discovered,1,10
arm,3,3
australian,1,10
approximate,1,11
debasement,1,10
say,3,3
resemblance,2,11
architecture,1,12
agriculture,1,11
manufacture,1,11
mosquitoes,1,10
troublesome,1,11
themselves,5,10
mud,1,3
red,7,3
lay,1,3
off,1,3
affectionate,1,12
inhospitable,1,12
cannibalism,1,11
dreadfully,1,10
xii,1,3
interesting,4,11
intelligence,1,12
description,31,11
intercourse,1,11
foreigners,1,10
argillaceous,1,12
principles,1,10
understand,1,10
comestibles,1,11
restrictions,1,12
nevertheless,1,12
overshadows,1,11
die,2,3
incomputable,1,12
expression,2,10
restricted,2,10
projecting,2,10
possession,2,10
sacculated,3,10
incidentally,1,12
add,1,3
succession,3,10
numerically,1,11
way,2,3
chimpanzee,1,10
callosities,6,11
big,1,3
observable,1,10
attachment,1,10
completely,3,10
sit,1,3
box,1,3
got,2,3
contracted,1,10
consumption,1,11
bed,1,3
gratefully,1,10
attentions,1,10
hysterical,1,10
poo,3,3
confinement,2,11
let,2,3
raw,1,3
occasionally,3,12
convolvulus,1,11
orthoptera,1,10
lar,1,3
recognisable,1,12
supercilium,2,11
variegated,1,10
synonymous,4,10
significant,1,11
variations,1,10
constantly,1,10
continuous,1,10
invariably,2,10
encircling,1,10
accompanying,1,12
web,1,3
peculiarity,1,11
occasional,1,10
top,2,3
repeatedly,2,10
preference,1,10
did,2,3
fur,9,3
projection,1,10
supraorbital,2,12
inflatable,1,10
sac,2,3
rudimentary,2,11
jaw,4,3
singularly,1,10
complicated,1,11
termination,1,11
conclusion,1,10
intestines,1,10
prodigious,2,10
overhanging,2,11
reverenced,1,10
son,2,3
god,1,3
attempting,1,10
sun,1,3
thunderbolt,1,11
immortality,1,11
superhuman,1,10
sea,1,3
throughout,2,10
foe,1,3
whereabouts,1,11
graphically,1,11
alternately,1,11
sufficient,1,10
can,5,3
ran,1,3
experiments,2,11
strychnine,3,10
dog,3,3
ten,1,3
temperament,1,11
rum,1,3
experiment,1,10
sympathize,1,10
elucidated,1,10
eat,1,3
nux,1,3
increasing,1,10
considered,3,10
unmitigated,1,11
aid,1,3
get,2,3
rid,1,3
tormentors,1,10
leguminous,1,10
afterwards,3,10
cow,1,3
susceptible,1,11
old,10,3
treacherous,1,11
vanquished,1,10
sex,1,3
neighbouring,1,12
disposition,3,11
deliberately,1,12
too,2,3
schistaceus,1,11
geographical,1,12
distribution,1,12
brahmaputra,1,11
sub,3,3
concolorous,1,11
tip,2,3
six,1,3
fir,1,3
soc,1,3
considerably,2,12
coromandel,1,10
compressed,2,10
bad,1,3
noticeable,1,10
population,1,10
familiarised,2,12
indifference,1,12
effectually,1,11
frequently,2,10
congregated,1,11
hut,1,3
particulars,1,11
lat,4,3
tranquebar,1,10
indication,1,10
animallies,1,10
travancore,2,10
individuals,1,11
shy,1,3
ferruginous,4,11
underneath,2,10
cap,2,3
superciliary,3,12
southwards,1,10
determined,1,10
fuliginous,1,10
hue,1,3
conspicuous,1,11
concealing,1,10
moustachial,1,11
reconciled,1,10
situations,2,10
lengthened,3,10
ash,1,3
unfrequently,1,12
terminating,3,11
lip,1,3
intelligent,1,11
mischievous,2,11
remarkable,1,10
air,2,3
melancholy,1,10
cry,2,3
sympathies,1,10
domesticated,1,12
fed,1,3
partiality,1,10
unequivocal,1,11
age,2,3
corruption,1,10
approaches,1,10
ere,1,3
repetition,1,10
vegetables,2,10
ate,1,3
satisfaction,1,12
irresistibly,1,12
emphatically,1,12
distinctly,1,10
kornegalle,1,10
conjectured,1,11
circumstance,1,12
seventeenth,1,11
papioninae,1,10
zoologists,1,10
substituting,1,12
communicates,1,12
introduced,1,10
indigenous,1,10
surrounding,1,11
unfrequented,1,12
considerable,1,12
xxv,1,3
assamensis,1,10
interspersed,1,12
nemestrinus,1,11
pig,2,3
archipelago,1,11
terminates,1,10
moderately,1,10
ear,1,3
localities,1,10
especially,1,10
internally,1,10
annulations,1,11
res,1,3
non,1,3
annulation,1,10
essentially,1,11
thibetanus,1,10
accessible,1,10
exploration,1,11
travellers,1,10
attracting,1,10
menageries,1,10
led,1,3
inquisitive,1,11
wanderings,1,10
performances,1,12
tug,1,3
astonishing,1,11
mastication,1,11
